variant,variant_label,base_method,rebalance_date,asset,sector,signal_source_date,lagged_sector_signal,sector_signal_z,tilt_multiplier,base_target_weight,target_weight,pretrade_weight,turnover,transaction_cost,tilt_strength
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,V,Financials,,,0.0,1.0,8.986693429254742e-18,8.986693429254742e-18,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,WFC,Financials,,,0.0,1.0,4.0243107457958715e-17,4.0243107457958715e-17,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,WMT,Consumer,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.09895980157821577,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,XOM,Energy,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,ABBV,Healthcare,,,0.0,1.0,0.09999999999999996,0.09999999999999996,0.10852670168536731,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,ABT,Healthcare,,,0.0,1.0,0.0,0.0,1.389348555178496e-16,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,ADBE,Tech,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,AEP,Utilities,,,0.0,1.0,0.0025978413500829293,0.0025978413500829293,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,AMD,Tech,,,0.0,1.0,5.669646507408718e-17,5.669646507408718e-17,1.2049915615236872e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,AMGN,Healthcare,,,0.0,1.0,0.0,0.0,8.08252247551529e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,AMT,RealEstate,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,BA,Industrials,,,0.0,1.0,9.266827657922641e-18,9.266827657922641e-18,9.39553572801793e-18,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,CAT,Industrials,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,CCI,RealEstate,,,0.0,1.0,0.0,0.0,7.956136545131934e-18,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,CMCSA,Comm,,,0.0,1.0,3.626608410811132e-18,3.626608410811132e-18,4.469505785543565e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,COP,Energy,,,0.0,1.0,0.0,0.0,7.255351351437326e-19,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,CVX,Energy,,,0.0,1.0,7.156486362954052e-18,7.156486362954052e-18,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,D,Utilities,,,0.0,1.0,1.9429176933186703e-17,1.9429176933186703e-17,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,DD,Materials,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,DIS,Consumer,,,0.0,1.0,0.0,0.0,3.455018117581686e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,DOW,Materials,,,0.0,1.0,0.0,0.0,1.5245759962518372e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,DUK,Utilities,,,0.0,1.0,0.0,0.0,3.4339658127291395e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,EA,Comm,,,0.0,1.0,0.1,0.1,0.09657466529392272,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,GE,Industrials,,,0.0,1.0,1.9194561674064834e-18,1.9194561674064834e-18,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,GILD,Healthcare,,,0.0,1.0,0.09999999999999999,0.09999999999999999,0.09661918396608969,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,GS,Financials,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,INTC,Tech,,,0.0,1.0,1.532699455213706e-17,1.532699455213706e-17,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,KO,Consumer,,,0.0,1.0,0.05424458714235743,0.05424458714235743,0.06252445265031432,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,MMM,Industrials,,,0.0,1.0,0.1,0.1,0.10372344108077568,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,MRK,Healthcare,,,0.0,1.0,0.09999999999999999,0.09999999999999999,0.0972679054146192,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,MS,Financials,,,0.0,1.0,1.567450795967705e-17,1.567450795967705e-17,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,NEE,Utilities,,,0.0,1.0,9.046204858407789e-18,9.046204858407789e-18,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,NEM,Materials,,,0.0,1.0,0.09999999999999999,0.09999999999999999,0.09418717000014432,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,NKE,Consumer,,,0.0,1.0,0.008571665394098309,0.008571665394098309,0.0061328332494167866,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,NUE,Materials,,,0.0,1.0,1.840272813483421e-19,1.840272813483421e-19,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,NVDA,Tech,,,0.0,1.0,1.6255353927665382e-17,1.6255353927665382e-17,2.4625867648117837e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,O,RealEstate,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,OXY,Energy,,,0.0,1.0,0.0,0.0,1.048201226084516e-18,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,PLD,RealEstate,,,0.0,1.0,2.989450772727138e-17,2.989450772727138e-17,8.970567900023908e-18,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,PSA,RealEstate,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.10609448868847793,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,QCOM,Tech,,,0.0,1.0,5.670140138672826e-18,5.670140138672826e-18,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,SBUX,Consumer,,,0.0,1.0,2.5067217115179798e-17,2.5067217115179798e-17,1.0630861946570278e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,SHW,Materials,,,0.0,1.0,0.0,0.0,1.8039005519068346e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,SLB,Energy,,,0.0,1.0,1.1297361910113292e-17,1.1297361910113292e-17,1.796601081160029e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,SO,Utilities,,,0.0,1.0,4.0935282406513984e-17,4.0935282406513984e-17,1.3834399213434716e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,T,Comm,,,0.0,1.0,9.975674812599325e-18,9.975674812599325e-18,0.011831104245690017,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,TMUS,Comm,,,0.0,1.0,0.0,0.0,5.120808170523976e-18,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,TTWO,Comm,,,0.0,1.0,0.07995844454574778,0.07995844454574778,0.07811828613958516,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,UPS,Industrials,,,0.0,1.0,0.05462746156771367,0.05462746156771367,0.04293803450040589,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,USB,Financials,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,V,Financials,,,0.0,1.0,1.0195998157344644e-17,1.0195998157344644e-17,1.0211438912182334e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,WFC,Financials,,,0.0,1.0,1.7014048764106626e-18,1.7014048764106626e-18,5.044641046378363e-17,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,WMT,Consumer,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.09546173308519074,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-03-01,XOM,Energy,,,0.0,1.0,0.0,0.0,0.0,0.038455601208268325,3.8455601208268327e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-04-01,ABBV,Healthcare,,,0.0,1.0,0.09999999999999999,0.09999999999999999,0.09528536626198574,0.2540673208501055,0.0002540673208501055,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-04-01,ABT,Healthcare,,,0.0,1.0,0.0,0.0,0.0,0.2540673208501055,0.0002540673208501055,0.0
